# Accumulated Timestep,Time,Monitor Point: inlet solute 1 (SolIn1),Monitor Point: inlet solute 2 (SolIn2),Monitor Point: outlet solute 1 (SolOut1),Monitor Point: outlet solute 2 (SolOut2)
1,0.050000001,4.8509001e-21,-4.4603999e-07,-2.9409001e-14,3.1431125e-41
2,0.1,2.644e-21,-5.9592998e-07,-6.3693002e-14,-5.0062998e-16
3,0.15000001,4.7102998e-22,-6.0632999e-07,-1.2149e-13,-1.8921e-14
4,0.2,1.2407e-21,-5.9796997e-07,-2.2025001e-13,-3.6705e-13
5,0.25,9.6169995e-22,-5.9531999e-07,-3.8490001e-13,-3.3901e-12
6,0.30000001,1.8593001e-21,-5.9694003e-07,-6.7638999e-13,-1.9628001e-11
7,0.34999999,4.6771999e-21,-5.9759998e-07,-1.321e-12,-9.6522998e-11
8,0.40000001,1.244e-20,-5.9758997e-07,-3.1418999e-12,-3.5857001e-10
9,0.44999999,-5.7572998e-20,-5.9681003e-07,-8.6931998e-12,-1.2915e-09
10,0.5,-1.3746e-19,-5.9767001e-07,-2.4481001e-11,-4.9816999e-09
11,0.55000001,-1.2081e-19,-5.9688e-07,-6.7308999e-11,-1.5638999e-08
12,0.60000002,-1.5912e-19,-5.9731002e-07,-1.7679e-10,-3.6277999e-08
13,0.64999998,-1.4924999e-19,-5.9734998e-07,-4.4988999e-10,-6.1733999e-08
14,0.69999999,-9.7440002e-20,-5.9744002e-07,-1.1902e-09,-8.4900996e-08
15,0.75,-1.403e-19,-5.9688e-07,-3.2830001e-09,-1.0606e-07
16,0.80000001,-1.3045e-19,-5.9781001e-07,-8.7591996e-09,-1.3615001e-07
17,0.85000002,-5.3135998e-20,-5.9696998e-07,-2.1110999e-08,-1.9009001e-07
18,0.89999998,-5.4805e-20,-5.9734998e-07,-4.4303e-08,-2.6853999e-07
19,0.94999999,-4.8739e-20,-5.9736999e-07,-8.0229e-08,-3.5584e-07
20,1,-3.4046001e-20,-5.9745997e-07,-1.2296e-07,-4.2714001e-07
21,1.05,-4.4595998e-20,-5.9688e-07,-1.5654e-07,-4.6987e-07
22,1.1,-4.0887001e-20,-5.9782002e-07,-1.657e-07,-4.8586998e-07
23,1.15,-5.6104998e-20,-5.9697999e-07,-1.4973e-07,-4.8599998e-07
24,1.2,-9.38e-20,-5.9735999e-07,-1.26e-07,-4.7877e-07
25,1.25,-1.2872e-19,-5.9736999e-07,-1.1291e-07,-4.7065001e-07
26,1.3,-7.8749003e-20,-5.9745997e-07,-1.1634e-07,-4.6694001e-07
27,1.35,-9.8869997e-20,-5.9688e-07,-1.2916e-07,-4.6632999e-07
28,1.4,-6.8708e-20,-5.9782002e-07,-1.395e-07,-4.6527001e-07
29,1.45,-7.1257997e-20,-5.9698999e-07,-1.3963e-07,-4.6369999e-07
30,1.5,-7.5936001e-20,-5.9735999e-07,-1.3064999e-07,-4.6075999e-07
31,1.55,-9.7258998e-20,-2.8759999e-07,-1.2021999e-07,-4.5736999e-07
32,1.6,-7.7133002e-20,2.9451e-08,-1.1689e-07,-4.5652999e-07
33,1.65,-7.7098002e-20,-6.3633001e-07,-1.2549e-07,-4.5802e-07
34,1.7,-1.0437e-19,-2.7038999e-07,-1.4517001e-07,-4.6045e-07
35,1.75,-1.1384e-19,-1.4254999e-07,-1.6511e-07,-4.6444001e-07
36,1.8,-9.9124e-20,3.4134001e-07,-1.7412e-07,-4.6891e-07
37,1.85,-7.9155e-20,-5.0330999e-07,-1.7003001e-07,-4.7251999e-07
38,1.9,-4.3415001e-20,-2.3913e-07,-1.5881e-07,-4.7543e-07
39,1.95,-7.2290002e-20,4.9864002e-07,-1.4603e-07,-4.7584999e-07
40,2,-9.3677002e-20,2.5399001e-07,-1.3346001e-07,-4.7188001e-07
41,2.05,-6.7277998e-20,-6.5474001e-07,-1.2227e-07,-4.6336001e-07
42,2.0999999,-3.6310001e-20,-3.4422999e-07,-1.139e-07,-4.4902001e-07
43,2.1500001,-3.7282e-20,-8.8528999e-08,-1.0761e-07,-4.2696001e-07
44,2.2,-2.2886e-20,-4.0616001e-08,-9.9860998e-08,-3.9765999e-07
45,2.25,-2.7951e-21,-7.5956001e-07,-8.8267001e-08,-3.6199e-07
46,2.3,1.1855e-20,-3.9979e-07,-7.3727001e-08,-3.2233999e-07
47,2.3499999,1.3720001e-20,-5.4082e-07,-5.9800001e-08,-2.8264e-07
48,2.4000001,-1.0803e-19,4.0112001e-05,-4.8440999e-08,-2.4541001e-07
49,2.45,-2.3080001e-19,8.3589002e-05,-4.1888001e-08,-2.1557e-07
50,2.5,-8.7766996e-19,0.00016054,-3.8023e-08,-1.9322e-07
51,2.55,-1.4408e-18,0.00031366001,-3.4898999e-08,-1.7692e-07
52,2.5999999,-3.9604998e-18,0.00065841997,-3.0902999e-08,-1.6324e-07
53,2.6500001,-9.5730001e-18,0.0013062001,-2.2474e-08,-1.4435e-07
54,2.7,-7.3166003e-18,0.0021824001,1.0926e-09,-1.0241e-07
55,2.75,-7.6621997e-18,0.0032818001,6.6101997e-08,1.5942e-08
56,2.8,-9.7402999e-18,0.0051126,2.3158e-07,3.2879001e-07
57,2.8499999,1.7131e-17,0.0066636,6.1908003e-07,1.0584999e-06
58,2.9000001,3.0028e-17,0.0075671999,1.4564999e-06,2.6803e-06
59,2.95,5.9547998e-17,0.0083879,3.1938e-06,6.0722e-06
60,3,2.8510999e-16,0.0089774001,6.7531e-06,1.2903e-05
61,3.05,4.7706002e-16,0.0095127001,1.3675e-05,2.6649999e-05
62,3.0999999,7.1155998e-16,0.0098227998,2.6096999e-05,5.2659001e-05
63,3.1500001,1.2376001e-15,0.0099886004,4.6548001e-05,9.8021999e-05
64,3.2,1.5503001e-15,0.0099540995,7.8432e-05,0.00017512
65,3.25,1.4476e-15,0.0097000003,0.00012692,0.00030037001
66,3.3,2.7744001e-15,0.0092701996,0.00019987,0.00048715001
67,3.3499999,2.8912e-15,0.0088537,0.00030782001,0.00075175997
68,3.4000001,5.0069998e-15,0.0079520997,0.00046204001,0.0011094999
69,3.45,4.5149999e-15,0.0072038001,0.00066581002,0.0015485
70,3.5,4.7479e-15,0.0061209998,0.00090391998,0.0020605
71,3.55,5.3790001e-15,0.0056071002,0.0011358,0.0026509999
72,3.5999999,5.7070001e-15,0.0051074,0.0013148,0.0032673001
73,3.6500001,5.5591001e-15,0.0044376999,0.001411,0.003853
74,3.7,3.2287001e-15,0.0039222999,0.0014319,0.0043890001
75,3.75,3.809e-15,0.0034235001,0.0014134001,0.0048063002
76,3.8,3.3154e-15,0.0030359,0.0013939,0.0050992998
77,3.8499999,2.5321999e-15,0.0026630999,0.0013954,0.0053641
78,3.9000001,3.2103999e-15,0.0023131999,0.0014215,0.0056030001
79,3.95,3.1471001e-15,0.0020872001,0.0014587,0.0057676998
80,4,3.1850999e-15,0.0018335,0.0014804,0.0058558001
81,4.0500002,2.9224e-15,0.0015758,0.0014565,0.0058342
82,4.0999999,2.4843999e-15,0.0012822,0.0013684999,0.0057239002
83,4.1500001,2.3254e-15,0.001025,0.0012242,0.0055812001
84,4.1999998,1.9861e-15,0.00085786998,0.0010542,0.0054064998
85,4.25,1.8348999e-15,0.00073218998,0.00089324999,0.0051742001
86,4.3000002,1.0544e-15,0.00065765,0.00076013,0.0048941998
87,4.3499999,9.9477995e-16,0.00060407002,0.0006575,0.0045955
88,4.4000001,8.6804e-16,0.00052613002,0.00057941,0.0043004998
89,4.4499998,6.8283e-16,0.00047112,0.00051903003,0.0040130001
90,4.5,6.1355001e-16,0.00040665001,0.00046924001,0.0037404001
91,4.5500002,6.1538998e-16,0.00034080999,0.00042318,0.003484
92,4.5999999,4.6397003e-16,0.00029671,0.00037478001,0.003236
93,4.6500001,4.4830998e-16,0.00027471999,0.00032302999,0.0030081
94,4.6999998,5.0114e-16,0.00023624,0.00027146001,0.0027927
95,4.75,3.3526001e-16,0.00019991001,0.00022574,0.0025641001
96,4.8000002,2.9634999e-16,0.00017850001,0.00018844999,0.0023356001
97,4.8499999,2.7674999e-16,0.00015755001,0.00015931,0.0021265999
98,4.9000001,1.895e-16,0.00012947001,0.00013645001,0.0019337001
99,4.9499998,2.0887e-16,0.00012027,0.00011867,0.0017684
100,5,2.1414e-16,0.00011477,0.00010498,0.0016212
101,5.0500002,1.4739001e-16,0.00010372,9.4445997e-05,0.0014689
102,5.0999999,1.5124e-16,9.4853e-05,8.5694002e-05,0.0013241
103,5.1500001,1.4804e-16,8.2234998e-05,7.7629003e-05,0.0012034
104,5.1999998,9.3353003e-17,7.4978998e-05,6.9640002e-05,0.0010985
105,5.25,9.8293998e-17,7.3470001e-05,6.1872997e-05,0.0010096
106,5.3000002,7.6018997e-17,6.9125999e-05,5.4603999e-05,0.00092635001
107,5.3499999,5.2766e-17,6.4218999e-05,4.8049002e-05,0.00083387998
108,5.4000001,6.6573997e-17,5.8611e-05,4.2256001e-05,0.00074377999
109,5.4499998,5.4158999e-17,5.5891e-05,3.7305999e-05,0.00066964002
110,5.5,5.4832999e-17,5.2562998e-05,3.3175998e-05,0.00060660997
111,5.5500002,5.6825998e-17,4.898e-05,2.9803001e-05,0.00055411999
112,5.5999999,5.8308001e-17,4.4789002e-05,2.6940999e-05,0.00050556997
113,5.6500001,3.8927001e-17,4.2888001e-05,2.4384e-05,0.00045240001
