time,Branch_in:massflow,Branch_in:pressure,Branch_in:temperature,Branch_in:velocity,Branch_out:massflow,Branch_out:pressure,Branch_out:temperature,Branch_out:velocity,NekRS_pressureDrop,fromNekRS_velocity,mFlow_pipe1out,mFlow_pipe2out,mFlow_pipe4out,mFlow_pipe5out,p_outlet_interface,p_pipe1in,p_pipe1out,p_pipe2in,p_pipe2out,p_pipe4in,p_pipe4out,p_pipe5in,pres_inlet_interface,temp_interface,toNekRS_velocity,vel_pipe5out,branch1:pressure,branch1:rho,branch1:temperature,branch1:velocity,pump:pressure,pump:pump_head,pump:rho,pump:temperature,pump:velocity
0,2.5071368504989,-49.141550861351,1.0000000038379,0.31999912248309,2.5071376052417,-39.541519583058,1,0.31999921881489,-9.6,0,2.5071368504989,2.5071368504989,2.5071376052417,7.5474287905409e-07,-39.541519583058,-51.074843568014,-62.608197215658,-37.608197214774,-49.141550861351,-39.541519583058,-51.074874319202,-4.8864653750227e-07,-49.141519583058,1,0.31999912248309,9.6331821276373e-08,-51.074874319038,997.561,0.9999999999964,0.31999921881491,-37.608197214779,25,997.561,1.0000000032412,0.31999912248309
0.005,2.4670303807574,-49.141519732204,1.0000000300815,0.3148801218507,1.6620012306797,-23582.847517939,1,0.21212999812016,7.6713128848925,0.21212999810534,2.4670303806013,2.4670303807574,1.6620012306567,-0.80502914986561,-23582.847517939,-2094.3407313369,-1084.2411265362,-1059.2411268531,-49.141519732204,-23582.847517939,-2067.3315975786,-2050.1528176982,-23575.176205054,1,0.3148801218507,-0.10275012370347,-2094.3407307592,997.561,1.0000002296093,0.31488012188999,-1059.2411276325,25,997.561,1.0000000531659,0.31488012179961
0.01,2.943905042909,-23575.176028654,1.0000199895721,0.37574615450966,2.4475932646081,20755.383617994,1,0.31239926002215,20143.888354999,0.31239925993604,2.9439050464762,2.943905042909,2.4475932636703,-0.49631178233736,20755.383617994,717.65473046407,-11441.26071476,-11416.260892196,-23575.176028654,20755.383617994,739.39746935406,786.07360741287,40899.271972993,1,0.37574615450966,-0.063346895002708,717.65472097259,997.561,1.0000000734828,0.37574615454406,-11416.260771509,25,997.561,1.0000433053528,0.37574615403597
0.015,2.2012404897344,40899.271972013,0.99998216478317,0.28095595378014,2.9238331879244,15181.39098263,1,0.37318427760996,12226.684612727,0.37318427762585,2.201240490248,2.2012404897344,2.9238331881847,0.72259269785946,15181.39098263,3068.9191195522,21971.595523002,21996.59551069,40899.271972013,15181.39098263,3038.8275713244,3104.0483276231,27408.075595357,1,0.28095595378014,0.09222832378763,3038.8275692327,997.561,0.99999999140365,0.37318427763661,21996.595519686,25,997.561,0.99999989471396,0.28095595384398
0.02,1.6538087888421,27408.075543372,0.99998112968233,0.21108435348432,2.1932868871755,-19097.08776091,1,0.27994079346333,-18699.17640109,0.27994079336274,1.6538087868068,1.6538087888421,2.1932868886516,0.53947809794985,-19097.08776091,-486.07703008198,13448.499269027,13473.499346319,27408.075543372,-19097.08776091,-502.94092582379,-466.21789906959,-37796.264162,1,0.21108435348432,0.068856439930052,-502.94093189919,997.561,0.99999999211831,0.27994079326061,13473.49927454,25,997.561,0.99998858611474,0.21108435354093
0.025,2.3339330744261,-37796.264222346,0.99999574823067,0.29789220943484,1.6474128495135,-17035.273007028,1,0.21026800595539,-13980.080191406,0.21026800596145,2.3339330748119,2.3339330744261,1.6474128494397,-0.68652022495094,-17035.273007028,-3162.5332880325,-20491.898721221,-20466.89867631,-37796.264222346,-17035.273007028,-3140.3240172835,-3122.1012610613,-31015.353198434,1,0.29789220943484,-0.087624203484336,-3162.5332889323,997.561,1.0000000998321,0.29789220940396,-20466.898717412,25,997.561,0.99999997574562,0.29789220945414
0.03,2.9443830881033,-31015.353276342,1.0000010407053,0.37580716994351,2.3158890674574,17139.897171932,1,0.29558915749137,17140.626319354,0.29558915743828,2.9443830926528,2.9443830881033,2.3158890678553,-0.62849402311956,17139.897171932,80.424765463403,-15479.964322009,-15454.964197483,-31015.353276342,17139.897171932,107.28809536703,147.65842021869,34280.523491285,1,0.37580716994351,-0.080218012767872,80.424755076046,997.561,1.0000000071616,0.37580717055449,-15454.964326331,25,997.561,1.0000113390986,0.37580717029879
0.035,2.331597280333,34280.52348673,0.99999369944639,0.29759407969375,2.9236372540176,18532.945452805,1,0.37315926953023,15595.229411466,0.37315926953645,2.3315972806254,2.331597280333,2.923637254289,0.59203997351974,18532.945452805,3066.8336970618,18661.178619914,18686.178621,34280.52348673,18532.945452805,3041.5527046701,3108.1587284429,34128.174864271,1,0.29759407969375,0.075565189815437,3041.5527067025,997.561,0.99999999848518,0.37315926952804,18686.178615741,25,997.561,0.99999994351072,0.29759407973359
0.04,1.6646559154177,34128.174789124,1.0000060151123,0.21246882955909,2.3220669713642,-15182.540385863,1,0.29637767600745,-15394.621583245,0.29637767609288,1.6646559165167,1.6646559154177,2.3220669723935,0.6574110561428,-15182.540385863,147.57406602164,17125.374446137,17150.374420868,34128.174789124,-15182.540385863,126.27780019513,166.57877659071,-30577.161969108,1,0.21246882955909,0.083908846473423,126.27779496696,997.561,1.0000000003308,0.29637767620276,17150.374404277,25,997.561,1.000010451384,0.2124688297244
0.045,2.2043014267506,-30577.161954149,0.99999841301682,0.28134663734373,1.6589563469926,-19963.106820934,1,0.21174136352778,-16983.924915625,0.2117413635215,2.2043014266239,2.2043014267506,1.6589563469557,-0.54534507985869,-19963.106820934,-3099.9401042556,-16851.051032993,-16826.05104716,-30577.161954149,-19963.106820934,-3082.8211935549,-3062.8752097332,-36947.031736559,1,0.28134663734373,-0.069605273828799,-3099.9401062214,997.561,1.0000000502117,0.28134663733632,-16826.05103844,25,997.561,1.0000000555392,0.28134663736337
0.05,2.919077267462,-36947.031705302,1.000011270378,0.37257725435382,2.1878172947154,12968.249198628,1,0.2792426804795,13560.917234921,0.27924268053102,2.9190772673265,2.919077267462,2.1878172946106,-0.73125997265327,12968.249198628,-538.45678326645,-18755.244224307,-18730.244268187,-36947.031705302,12968.249198628,-508.11229346073,-473.564199078,26529.166433549,1,0.37257725435382,-0.093334573862407,-538.45677282312,997.561,0.99999998645012,0.37257725432792,-18730.24427726,25,997.561,1.0000315278752,0.3725772543723
