step= 1  t= 1.00000000e-02  dt=1.0e-02  C= 0.46  UVW: 11  P: 3  S: 2  S: 4  eTimeStep= 5.72e-02s eTime= 5.71585e-02s
step= 2  t= 2.00000000e-02  dt=1.0e-02  C= 0.46  UVW: 11  P: 2  S: 2  S: 5  eTimeStep= 4.77e-02s eTime= 1.04878e-01s
step= 3  t= 3.00000000e-02  dt=1.0e-02  C= 0.46  UVW: 10  P: 1  S: 2  S: 5  eTimeStep= 3.88e-02s eTime= 1.43657e-01s
step= 4  t= 4.00000000e-02  dt=1.0e-02  C= 0.46  UVW: 7  P: 1  S: 3  S: 6  eTimeStep= 3.62e-02s eTime= 1.79811e-01s
step= 5  t= 5.00000000e-02  dt=1.0e-02  C= 0.46  UVW: 7  P: 1  S: 2  S: 6  eTimeStep= 3.64e-02s eTime= 2.16194e-01s
step= 6  t= 6.00000000e-02  dt=1.0e-02  C= 0.46  UVW: 6  P: 1  S: 1  S: 6  eTimeStep= 3.71e-02s eTime= 2.53266e-01s
step= 7  t= 7.00000000e-02  dt=1.0e-02  C= 0.46  UVW: 6  P: 1  S: 1  S: 6  eTimeStep= 3.85e-02s eTime= 2.91812e-01s
step= 8  t= 8.00000000e-02  dt=1.0e-02  C= 0.46  UVW: 6  P: 1  S: 1  S: 6  eTimeStep= 3.64e-02s eTime= 3.28246e-01s
step= 9  t= 9.00000000e-02  dt=1.0e-02  C= 0.46  UVW: 5  P: 1  S: 1  S: 6  eTimeStep= 3.49e-02s eTime= 3.63157e-01s
step= 10  t= 1.00000000e-01  dt=1.0e-02  C= 0.46  UVW: 5  P: 1  S: 3  S: 6  eTimeStep= 3.57e-02s eTime= 3.98872e-01s
step= 11  t= 1.10000000e-01  dt=1.0e-02  C= 0.46  UVW: 4  P: 1  S: 3  S: 6  eTimeStep= 3.70e-02s eTime= 4.35904e-01s
step= 12  t= 1.20000000e-01  dt=1.0e-02  C= 0.46  UVW: 4  P: 1  S: 1  S: 6  eTimeStep= 3.51e-02s eTime= 4.71022e-01s
step= 13  t= 1.30000000e-01  dt=1.0e-02  C= 0.46  UVW: 5  P: 1  S: 1  S: 6  eTimeStep= 3.57e-02s eTime= 5.06683e-01s
step= 14  t= 1.40000000e-01  dt=1.0e-02  C= 0.46  UVW: 4  P: 1  S: 1  S: 6  eTimeStep= 3.49e-02s eTime= 5.41603e-01s
step= 15  t= 1.50000000e-01  dt=1.0e-02  C= 0.46  UVW: 4  P: 1  S: 2  S: 6  eTimeStep= 3.66e-02s eTime= 5.78204e-01s
step= 16  t= 1.60000000e-01  dt=1.0e-02  C= 0.46  UVW: 5  P: 1  S: 2  S: 6  eTimeStep= 3.61e-02s eTime= 6.14289e-01s
step= 17  t= 1.70000000e-01  dt=1.0e-02  C= 0.46  UVW: 4  P: 1  S: 1  S: 6  eTimeStep= 3.47e-02s eTime= 6.48993e-01s
step= 18  t= 1.80000000e-01  dt=1.0e-02  C= 0.46  UVW: 4  P: 1  S: 1  S: 6  eTimeStep= 3.36e-02s eTime= 6.82595e-01s
step= 19  t= 1.90000000e-01  dt=1.0e-02  C= 0.46  UVW: 5  P: 1  S: 2  S: 6  eTimeStep= 3.77e-02s eTime= 7.20337e-01s
step= 20  t= 2.00000000e-01  dt=1.0e-02  C= 0.46  UVW: 4  P: 1  S: 1  S: 6  eTimeStep= 3.46e-02s eTime= 7.54970e-01s
step= 21  t= 2.10000000e-01  dt=1.0e-02  C= 0.46  UVW: 4  P: 1  S: 1  S: 6  eTimeStep= 3.42e-02s eTime= 7.89138e-01s
step= 22  t= 2.20000000e-01  dt=1.0e-02  C= 0.46  UVW: 5  P: 1  S: 2  S: 6  eTimeStep= 3.58e-02s eTime= 8.24902e-01s
step= 23  t= 2.30000000e-01  dt=1.0e-02  C= 0.46  UVW: 4  P: 1  S: 1  S: 6  eTimeStep= 3.47e-02s eTime= 8.59557e-01s
step= 24  t= 2.40000000e-01  dt=1.0e-02  C= 0.46  UVW: 4  P: 1  S: 1  S: 6  eTimeStep= 3.49e-02s eTime= 8.94469e-01s
step= 25  t= 2.50000000e-01  dt=1.0e-02  C= 0.46  UVW: 4  P: 1  S: 1  S: 6  eTimeStep= 3.39e-02s eTime= 9.28406e-01s
step= 26  t= 2.60000000e-01  dt=1.0e-02  C= 0.46  UVW: 5  P: 1  S: 2  S: 6  eTimeStep= 3.45e-02s eTime= 9.62907e-01s
step= 27  t= 2.70000000e-01  dt=1.0e-02  C= 0.46  UVW: 4  P: 1  S: 1  S: 6  eTimeStep= 3.32e-02s eTime= 9.96093e-01s
step= 28  t= 2.80000000e-01  dt=1.0e-02  C= 0.46  UVW: 4  P: 1  S: 3  S: 6  eTimeStep= 3.41e-02s eTime= 1.03021e+00s
step= 29  t= 2.90000000e-01  dt=1.0e-02  C= 0.46  UVW: 4  P: 1  S: 1  S: 6  eTimeStep= 3.39e-02s eTime= 1.06416e+00s
step= 30  t= 3.00000000e-01  dt=1.0e-02  C= 0.46  UVW: 5  P: 1  S: 1  S: 6  eTimeStep= 3.51e-02s eTime= 1.09927e+00s
step= 31  t= 3.10000000e-01  dt=1.0e-02  C= 0.46  UVW: 4  P: 1  S: 2  S: 5  eTimeStep= 3.42e-02s eTime= 1.13349e+00s
step= 32  t= 3.20000000e-01  dt=1.0e-02  C= 0.46  UVW: 4  P: 1  S: 1  S: 6  eTimeStep= 3.44e-02s eTime= 1.16786e+00s
step= 33  t= 3.30000000e-01  dt=1.0e-02  C= 0.46  UVW: 4  P: 1  S: 2  S: 6  eTimeStep= 3.48e-02s eTime= 1.20270e+00s
step= 34  t= 3.40000000e-01  dt=1.0e-02  C= 0.46  UVW: 5  P: 1  S: 1  S: 6  eTimeStep= 3.59e-02s eTime= 1.23858e+00s
step= 35  t= 3.50000000e-01  dt=1.0e-02  C= 0.46  UVW: 4  P: 1  S: 1  S: 6  eTimeStep= 3.39e-02s eTime= 1.27246e+00s
step= 36  t= 3.60000000e-01  dt=1.0e-02  C= 0.46  UVW: 4  P: 1  S: 2  S: 6  eTimeStep= 3.34e-02s eTime= 1.30584e+00s
step= 37  t= 3.70000000e-01  dt=1.0e-02  C= 0.46  UVW: 4  P: 1  S: 1  S: 5  eTimeStep= 3.49e-02s eTime= 1.34078e+00s
step= 38  t= 3.80000000e-01  dt=1.0e-02  C= 0.46  UVW: 5  P: 1  S: 1  S: 6  eTimeStep= 3.47e-02s eTime= 1.37544e+00s
step= 39  t= 3.90000000e-01  dt=1.0e-02  C= 0.46  UVW: 4  P: 1  S: 2  S: 6  eTimeStep= 3.41e-02s eTime= 1.40958e+00s
step= 40  t= 4.00000000e-01  dt=1.0e-02  C= 0.46  UVW: 4  P: 1  S: 1  S: 6  eTimeStep= 3.39e-02s eTime= 1.44350e+00s
step= 41  t= 4.10000000e-01  dt=1.0e-02  C= 0.46  UVW: 4  P: 1  S: 1  S: 6  eTimeStep= 3.42e-02s eTime= 1.47769e+00s
step= 42  t= 4.20000000e-01  dt=1.0e-02  C= 0.46  UVW: 5  P: 1  S: 1  S: 6  eTimeStep= 3.54e-02s eTime= 1.51306e+00s
step= 43  t= 4.30000000e-01  dt=1.0e-02  C= 0.46  UVW: 4  P: 1  S: 2  S: 6  eTimeStep= 3.50e-02s eTime= 1.54802e+00s
step= 44  t= 4.40000000e-01  dt=1.0e-02  C= 0.46  UVW: 4  P: 1  S: 1  S: 6  eTimeStep= 3.48e-02s eTime= 1.58286e+00s
step= 45  t= 4.50000000e-01  dt=1.0e-02  C= 0.46  UVW: 4  P: 1  S: 1  S: 6  eTimeStep= 3.39e-02s eTime= 1.61680e+00s
step= 46  t= 4.60000000e-01  dt=1.0e-02  C= 0.46  UVW: 5  P: 1  S: 2  S: 6  eTimeStep= 3.44e-02s eTime= 1.65119e+00s
step= 47  t= 4.70000000e-01  dt=1.0e-02  C= 0.46  UVW: 4  P: 1  S: 3  S: 6  eTimeStep= 3.40e-02s eTime= 1.68519e+00s
step= 48  t= 4.80000000e-01  dt=1.0e-02  C= 0.46  UVW: 4  P: 1  S: 3  S: 6  eTimeStep= 3.41e-02s eTime= 1.71932e+00s
step= 49  t= 4.90000000e-01  dt=1.0e-02  C= 0.46  UVW: 4  P: 1  S: 1  S: 5  eTimeStep= 3.34e-02s eTime= 1.75276e+00s
step= 50  t= 5.00000000e-01  dt=1.0e-02  C= 0.46  UVW: 5  P: 1  S: 1  S: 6  eTimeStep= 3.51e-02s eTime= 1.78782e+00s
