time,NekInlet:massflow,NekInlet:pressure,NekInlet:temperature,NekInlet:velocity,NekOutlet:massflow,NekOutlet:pressure,NekOutlet:temperature,NekOutlet:velocity,NekRS_pressureDrop,mFlow_deadend,mFlow_out2,mFlow_out6,p_inlet_interface,p_outlet_interface,toNekRS_temperature,toNekRS_velocity,branch3to5anddeadend:pressure,branch3to5anddeadend:rho,branch3to5anddeadend:temperature,branch3to5anddeadend:velocity,junction2to3:pressure,junction2to3:rho,junction2to3:temperature,junction2to3:velocity,junction5to6:pressure,junction5to6:rho,junction5to6:temperature,junction5to6:velocity,junction6to7:pressure,junction6to7:rho,junction6to7:temperature,junction6to7:velocity
0,0.510972301371,15000000,550,0.235,0.510972301371,15000000,550,0.235,10.863,0,0.510972301371,0.510972301371,15000010.863,15000000,550,0.235,15000000,769.02,550,0.235,15000000,769.02,550,0.235,15000000,769.02,550,0.235,15000000,769.02,550,0.235
1,12.542527703574,15000010.861546,549.90854639249,5.7672318108279,0.510972301371,15029984.088154,550,0.235,10.863,-12.029000963934,0.51350867996169,12.542527703574,15029994.951154,15029984.088154,549.90854639249,5.7672318108279,14998358.957221,769.01993420072,550.00003854167,5.7687490113983,15022449.217256,767.86705196691,550.67533479084,0.23652110215967,14997489.542508,769.01993973248,550.00003530146,5.7687490114307,14998752.955607,769.20569355547,549.8912307278,5.7672318107156
2,4.3174137267027,15029994.951755,549.81476835193,1.9847948308707,12.54252770359,15029555.663536,549.90854639181,5.7672318108268,10.863,8.2223480650809,12.540030178619,4.3174137267027,15029566.526536,15029555.663536,549.81476835193,1.9847948308707,14993517.90072,768.82836548411,550.11224916648,5.7687494362599,15015733.439216,768.82065772413,550.11676395667,5.7687494358294,15009689.340565,768.87099960733,550.08727639593,1.9863118267427,15019841.779854,769.43252758692,549.75836358306,1.9847948307772
3,-3.0549746173813,15029566.526749,549.81476864074,-1.4044282565286,4.3174137267807,15015437.360465,549.81476834678,1.9847948308839,10.863,7.3699972419027,4.3173539431832,-3.0549746173813,15015448.223465,15015437.360465,549.81476864074,-1.4044282565286,15000047.522907,769.09397729371,549.9566680902,3.3892247760926,15010510.370634,768.73780942486,550.16529202321,1.9863123858764,15008951.356711,769.84046556851,549.51941550946,1.4029132071,15019260.162338,769.36221784379,549.79954723949,1.404428255562
4,1.9862254876401,15015448.22365,549.62546811414,0.91272113114428,-3.0549746175339,15012661.899639,549.81476862685,-1.4044282565555,10.863,-5.0422926618329,-3.0537373559154,1.9862254876401,15012672.762639,15012661.899639,549.62546811414,0.91272113114428,14999521.751444,769.02294386424,549.99827564306,2.3189883185123,15007895.015336,768.84678951941,550.10145736003,1.4047531507735,15004071.556832,769.30732834808,549.83169854644,0.9142351674549,15009760.40053,770.29072968294,549.25567506946,0.91272113610222
5,5.6256803898271,15012672.762074,549.57583566746,2.5848586545674,1.9862254876363,15024291.745462,549.62546811472,0.91272113114372,10.863,-3.6358079713182,1.9857199350077,5.6256803898271,15024302.608462,15024291.745462,549.57583566746,2.5848586545674,14998531.19271,768.94193947818,550.04572364466,2.5863750600986,15014900.645867,768.18540809215,550.48885893843,0.91423970957049,15001116.300916,768.98186921351,550.02233495871,2.5863750600739,15006894.342445,769.66978845383,549.61938896033,2.5848586546983
6,1.2843120688191,15024302.609049,549.52263622968,0.59003947574271,5.6256803910521,15022826.978291,549.57583558166,2.5848586546383,10.863,4.3364555207151,5.623844628909,1.2843120688191,15022837.841291,15022826.978291,549.52263622968,0.59003947574271,14999270.089,768.83724506616,550.1070479861,2.5863738022022,15013519.188544,769.0421793879,549.98700851048,2.5863737979145,15006208.894514,768.90779474931,550.06572378575,0.59155446268112,15015254.281932,770.27117326355,549.26713016546,0.5900394770622
7,-2.2295305859952,15022837.872662,549.52323073477,-1.0242937245774,1.2843120695639,15015962.819407,549.52263602855,0.59003947582171,10.863,3.5120017863783,1.2853178061734,-2.2295305859952,15015973.682407,15015962.819407,549.52323073477,-1.0242937245774,14999991.213722,769.46755945613,549.737843803,1.6143354887364,15009925.828231,768.46126251764,550.32727829005,0.59155711519672,15005078.285293,770.44209834902,549.16701146667,1.0227791109532,15013960.057875,769.94817691128,549.45632401266,1.0242920524829
8,1.6843475188675,15015973.675536,549.33643509461,0.77350461677478,-2.2295305863908,15016009.399289,549.5232307024,-1.0242937246856,10.863,-3.9136936981658,-2.2278715373958,1.6843475188675,15016020.262289,15016009.399289,549.33643509461,0.77350461677478,14999712.547024,769.04311975987,549.98645769128,1.799937141672,15009810.36051,768.79094527684,550.1341679062,1.0249201317064,15003751.07716,769.56777163901,549.67914490971,0.77501699816867,15009862.635182,770.93666869431,548.87731882563,0.7735048631089
9,3.4697773716248,15016020.287643,549.2222552711,1.5930261710592,1.6843475195248,15022552.914924,549.33643508447,0.77350461705926,10.863,-1.7819203251332,1.6831557975818,3.4697773716248,15022563.777924,15022552.914924,549.2222552711,1.5930261710592,14999350.097834,768.93231321463,550.0513621908,1.5945412797205,15013578.358277,768.10041918733,550.53864085628,0.77502275360233,15002588.516489,769.03523673492,549.99107514225,1.5945412783942,15009302.1325,770.2685362451,549.26867478868,1.5930261689903
