time,NekInlet:massflow,NekInlet:pressure,NekInlet:temperature,NekInlet:velocity,NekOutlet:massflow,NekOutlet:pressure,NekOutlet:temperature,NekOutlet:velocity,SAM_dudt,SAM_velocity,coupled_nekdP,dP_overlap,mFlow_deadend,mFlow_out2,mFlow_out6,p_in,p_inlet_interface,p_out,toNekRS_temperature,toNekRS_velocity,branch3to5anddeadend:pressure,branch3to5anddeadend:rho,branch3to5anddeadend:temperature,branch3to5anddeadend:velocity,junction2to3:pressure,junction2to3:rho,junction2to3:temperature,junction2to3:velocity,junction5to6:pressure,junction5to6:rho,junction5to6:temperature,junction5to6:velocity,junction6to7:pressure,junction6to7:rho,junction6to7:temperature,junction6to7:velocity,junction7toOverlap:pressure,junction7toOverlap:rho,junction7toOverlap:temperature,junction7toOverlap:velocity
0,0.510972301371,15000000,550,0.235,0.510972301371,15000000,550,0.235,0,0.235,9.35,0,0,0.510972301371,0.510972301371,15000000,15000000,15000000,550,0.235,15000000,769.02,550,0.235,15000000,769.02,550,0.235,15000000,769.02,550,0.235,15000000,769.02,550,0.235,15000000,769.02,550,0.235
1,10.037201210827,15000000.000005,549.92140942967,4.6153789896701,0.510972301371,15025746.83367,550,0.235,2.5671176552414,4.6153789896701,9.35,4797.673960235,-9.5244692973184,0.51350871514006,10.037837840268,15004797.673965,15025746.83367,15000000.000005,549.89283372932,4.6153789896676,14998721.494457,769.0199170268,550.00004860122,4.6168961028754,15018211.963335,767.8670404251,550.67534155141,0.23652112198863,14999167.648171,769.01992554663,550.00004361077,4.6168961028744,15001984.688338,769.24722161703,549.86690582853,4.6153789896691,15004797.67396,769.20295687203,549.8928337294,4.6153789896669
2,4.8428127726782,15025746.83352,549.86537936542,2.2265805440456,10.03783784061,15026172.262423,549.89283372405,4.6153789897707,0.34720370858052,2.2265805440456,9.35,-2596.2034988292,5.1925876676989,10.035383996631,4.8432328427703,15023150.630021,15026172.262423,15025746.83352,549.82629521344,2.2265805441292,14994561.673013,768.78876833073,550.13544304385,4.6168966523425,15013906.303945,768.76212798724,550.15104752062,4.6168966524749,15005126.515064,768.83523342206,550.10822629875,2.228097751595,15014138.408503,769.36979192306,549.79511075225,2.2265805444254,15023150.629796,769.31655303558,549.82629522189,2.2265805441154
3,0.58083824619255,15026172.260295,549.86462423561,0.26705161473784,4.8432328421136,15014948.57842,549.82629524872,2.2265805440015,-2.1006564989422,0.26705161473784,9.35,-2127.3280216753,4.2593030352954,4.8430933086081,0.58091586664276,15024044.932273,15014948.57842,15026172.260295,549.80440790244,0.26705161343737,14999563.684301,768.76497166403,550.14938184809,2.2280977411241,15008881.210216,768.77054716059,550.14611602283,2.2280977404786,15005957.206093,768.80986660675,550.12308481138,0.26856606344442,15015002.638783,770.37791696535,549.20460546056,0.26705169280869,15024044.93074,769.35391950502,549.8044079589,0.26705161332577
4,2.7583972531926,15014948.578407,549.75084315464,1.2679063040436,0.58091586947728,15015207.824914,549.80440790049,0.26705161473926,-0.19501571821064,1.2679063040436,9.35,1107.0822728332,-2.1761983961493,0.58302040451296,2.759703218062,15016055.66068,15015207.824914,15014948.578407,549.53745911631,1.2679063039504,14999529.289409,768.94602014488,550.04333341013,1.2694220274301,15009175.649657,767.76987492093,550.73225586459,0.26857205680592,15002773.338057,768.89531793245,550.07303203231,1.2694220274557,15009412.996633,770.10530389208,549.36428749959,1.2679063040572,15016055.660623,769.80966108599,549.53745911434,1.267906303948
5,3.9838990900373,15015207.824838,549.61452462197,1.8306585241205,2.7597032182653,15020693.842345,549.53745911649,1.2679063040443,0.72882374935513,1.8306585241205,9.35,628.35865196213,-1.2236199166117,2.7575839218802,3.9842306558265,15015836.18349,15020693.842345,15015207.824838,549.57700314775,1.8306585241231,14998862.199595,768.68749258934,550.19476491237,1.8321756358282,15012253.397462,768.29895421825,550.42234974017,1.2694237941869,15002133.209998,768.74213865407,550.16275619417,1.8321756358401,15008983.239949,769.57167341226,549.67685946132,1.8306585241302,15015836.183558,769.74215054777,549.57700314747,1.8306585241231
6,2.3407582539451,15020693.847703,549.59771997628,1.0755717536817,3.9842306551276,15019753.032564,549.57700323247,1.830658524146,-0.21798746527288,1.0755717536817,9.35,-812.01235165261,1.6411015261065,3.9833173633358,2.3407187894058,15019881.835352,15019753.032564,15020693.847703,549.60532147834,1.0755717542762,14999035.521036,768.6351261271,550.22543836235,1.8321746491373,15011521.242103,768.92888795452,550.05336852348,1.8321746480038,15003834.83295,768.6663244347,550.20716407597,1.07708863704,15011856.352308,769.69644531452,549.60377480868,1.0755717529203,15019881.833288,769.69380486669,549.60532144064,1.0755717537327
7,1.4830014607113,15019753.027944,549.60235419536,0.68144195357223,2.3407187884036,15017275.447324,549.60532132677,1.0755717534541,-0.532024653654,0.68144195357223,9.35,-417.50910703838,0.85662939410062,2.3411546449235,1.4831424316577,15019335.518837,15017275.447324,15019753.027944,549.55950027309,0.68144195770315,14999587.654812,768.72077429071,550.17527028625,1.0770888506838,15010218.058096,768.75278959009,550.15651745014,1.0770888634623,15003729.680933,768.68540970494,550.19598495374,0.68295798155092,15011530.589633,770.06795263316,549.38616585309,0.68144195463888,15019335.525359,769.77203168445,549.55950038879,0.68144195728946
8,2.1444931156613,15017275.447265,549.56449048778,0.98531586002801,1.4831424226721,15018009.247333,549.55950027479,0.68144195357718,0.020868392839879,0.98531586002801,9.35,345.46224689856,-0.66072545540523,1.4837196271523,2.1448974606175,15017620.909511,15018009.247333,15017275.447265,549.47947576675,0.98531586000738,14999606.479289,768.77949475788,550.1408750028,0.9868321025752,15010731.831398,768.36047179279,550.38631606203,0.68295952367009,15003170.644116,768.74682316297,550.16001226144,0.98683210304864,15010393.435534,769.99086243544,549.43132113421,0.98531586010386,15017620.909585,769.90865170098,549.47947574966,0.98531585977449
9,2.2571295518802,15018009.250317,549.51168131146,1.0369467170191,2.1448974608505,15019321.7304,549.47947573611,0.98531586004745,0.15142644087419,1.0369467170191,9.35,69.722284972668,-0.11226401604209,2.1443216705532,2.2573534428276,15018078.972602,15019321.7304,15018009.250317,549.46695147583,1.0369467170949,14999605.928462,768.63342864193,550.22643265764,1.0384632741801,15011464.264939,768.51904512672,550.29343235329,0.9868324875129,15003257.811287,768.68256117819,550.19765346712,1.0384632746133,15010665.85349,769.88377465647,549.49404738096,1.0369467172888,15018078.971194,769.93003346179,549.46695146708,1.036946716964
