"OLW_Line: Temperature (C)","OLW_Line: Position[X] (m)"
226.90139061706606,0.25
226.94346208851925,0.2505
226.94346208851925,0.251
226.94346208851925,0.2515
226.94346208851925,0.252
226.9926310194371,0.2525
226.9926310194371,0.253
226.9926310194371,0.2535
226.9926310194371,0.254
227.04981067519049,0.2545
227.04981067519049,0.255
227.04981067519049,0.2555
227.04981067519049,0.256
227.1164427472204,0.2565
227.1164427472204,0.257
227.1164427472204,0.2575
227.1164427472204,0.258
227.19568029484844,0.2585
227.19568029484844,0.259
227.19568029484844,0.2595
227.19568029484844,0.26
227.29581236759003,0.2605
227.29581236759003,0.261
227.29581236759003,0.2615
227.29581236759003,0.262
227.6289875092395,0.2625
227.6289875092395,0.263
227.6289875092395,0.2635
227.6289875092395,0.264
227.8322567791884,0.2645
227.8322567791884,0.265
227.8322567791884,0.2655
227.8322567791884,0.266
228.00186301187102,0.2665
228.00186301187102,0.267
228.00186301187102,0.2675
228.00186301187102,0.268
228.15511563350833,0.2685
228.15511563350833,0.269
228.15511563350833,0.2695
228.15511563350833,0.27
228.2996854886834,0.2705
228.2996854886834,0.271
228.2996854886834,0.2715
228.2996854886834,0.272
228.43987196795132,0.2725
228.43987196795132,0.273
228.43987196795132,0.2735
228.43987196795132,0.274
228.57895985516012,0.2745
228.57895985516012,0.275
228.57895985516012,0.2755
228.57895985516012,0.276
228.71965906093692,0.2765
228.71965906093692,0.277
228.71965906093692,0.2775
228.71965906093692,0.278
228.8640285253946,0.27849999999999997
228.8640285253946,0.279
228.8640285253946,0.27949999999999997
228.8640285253946,0.28
229.0141513430977,0.28049999999999997
229.0141513430977,0.281
229.0141513430977,0.2815
229.0141513430977,0.28200000000000003
229.1718121167786,0.2825
229.1718121167786,0.28300000000000003
229.1718121167786,0.2835
229.1718121167786,0.28400000000000003
229.33847756011357,0.2845
229.33847756011357,0.285
229.33847756011357,0.2855
229.33847756011357,0.286
229.51571208433683,0.2865
229.51571208433683,0.287
229.51571208433683,0.2875
229.51571208433683,0.28800000000000003
229.70488981259217,0.2885
229.70488981259217,0.28900000000000003
229.70488981259217,0.2895
229.70488981259217,0.29000000000000004
229.90718511771195,0.2905
229.90718511771195,0.291
229.90718511771195,0.2915
229.90718511771195,0.292
230.1238531308881,0.2925
230.1238531308881,0.293
230.1238531308881,0.2935
230.1238531308881,0.294
230.35626846258634,0.2945
230.35626846258634,0.295
230.35626846258634,0.2955
230.35626846258634,0.296
230.60553199318986,0.2965
230.60553199318986,0.297
230.60553199318986,0.2975
230.60553199318986,0.298
230.8731456727681,0.2985
230.8731456727681,0.299
230.8731456727681,0.2995
230.8731456727681,0.3
231.16111993124088,0.3005
231.16111993124088,0.301
231.16111993124088,0.3015
231.16111993124088,0.302
231.47131171186464,0.3025
231.47131171186464,0.303
231.47131171186464,0.3035
231.47131171186464,0.304
231.80672089829744,0.3045
231.80672089829744,0.305
231.80672089829744,0.3055
231.80672089829744,0.306
232.1714129325424,0.3065
