"IPT_Line: Temperature (C)","IPT_Line: Position[X] (m)"
228.47816558221206,0.25
228.48946981966384,0.251
228.49930682783094,0.252
228.54336067281804,0.253
228.54336067281804,0.254
228.54336067281804,0.255
228.54336067281804,0.256
228.54336067281804,0.257
228.54336067281804,0.258
228.58297589795797,0.259
228.58297589795797,0.26
228.58297589795797,0.261
228.58297589795797,0.262
228.58297589795797,0.263
228.58297589795797,0.264
228.6802242983661,0.265
228.6802242983661,0.266
228.6802242983661,0.267
228.6802242983661,0.268
228.6802242983661,0.269
228.6802242983661,0.27
228.9599026731417,0.271
228.9599026731417,0.272
228.9599026731417,0.273
228.9599026731417,0.274
228.9599026731417,0.275
228.9599026731417,0.276
229.46656665387576,0.277
229.46656665387576,0.278
229.46656665387576,0.279
229.46656665387576,0.28
229.46656665387576,0.281
229.46656665387576,0.28200000000000003
230.12943646671908,0.28300000000000003
230.12943646671908,0.28400000000000003
230.12943646671908,0.285
230.12943646671908,0.286
230.12943646671908,0.287
230.12943646671908,0.28800000000000003
230.9015558254775,0.28900000000000003
230.9015558254775,0.29000000000000004
230.9015558254775,0.291
230.9015558254775,0.292
230.9015558254775,0.293
230.9015558254775,0.294
231.8015476267184,0.295
231.8015476267184,0.296
231.8015476267184,0.297
231.8015476267184,0.298
231.8015476267184,0.299
231.8015476267184,0.3
232.8525400183675,0.301
232.8525400183675,0.302
232.8525400183675,0.303
232.8525400183675,0.304
232.8525400183675,0.305
232.8525400183675,0.306
234.08805746508273,0.307
234.08805746508273,0.308
234.08805746508273,0.309
234.08805746508273,0.31
234.08805746508273,0.311
234.08805746508273,0.312
235.52035305021383,0.313
235.52035305021383,0.314
235.52035305021383,0.315
235.52035305021383,0.316
235.52035305021383,0.317
235.52035305021383,0.318
237.11983784973626,0.319
237.11983784973626,0.32
237.11983784973626,0.321
237.11983784973626,0.322
237.11983784973626,0.323
237.11983784973626,0.324
238.96903940285063,0.325
238.96903940285063,0.326
238.96903940285063,0.327
238.96903940285063,0.328
238.96903940285063,0.329
238.96903940285063,0.33
241.09978332568573,0.331
241.09978332568573,0.332
241.09978332568573,0.333
241.09978332568573,0.334
241.09978332568573,0.335
241.09978332568573,0.336
243.66295077662983,0.337
243.66295077662983,0.338
243.66295077662983,0.339
243.66295077662983,0.34
243.66295077662983,0.341
243.66295077662983,0.342
246.56121899164395,0.343
246.56121899164395,0.344
246.56121899164395,0.345
246.56121899164395,0.346
246.56121899164395,0.347
246.56121899164395,0.348
249.85375486214036,0.349
249.85375486214036,0.35
249.85375486214036,0.351
249.85375486214036,0.352
249.85375486214036,0.353
249.85375486214036,0.354
253.36352722567722,0.355
253.36352722567722,0.356
253.36352722567722,0.357
253.36352722567722,0.358
253.36352722567722,0.359
253.36352722567722,0.36
256.8054578951461,0.361
256.8054578951461,0.362
256.8054578951461,0.363
256.8054578951461,0.364
256.8054578951461,0.365
256.8054578951461,0.366
260.0063036755407,0.367
260.0063036755407,0.368
260.0063036755407,0.369
260.0063036755407,0.37
260.0063036755407,0.371
260.0063036755407,0.372
262.94582811652367,0.373
262.94582811652367,0.374
262.94582811652367,0.375
262.94582811652367,0.376
262.94582811652367,0.377
262.94582811652367,0.378
266.14617892689546,0.379
266.14617892689546,0.38
266.14617892689546,0.381
266.14617892689546,0.382
266.14617892689546,0.383
266.14617892689546,0.384
269.54274334575564,0.385
269.54274334575564,0.386
269.54274334575564,0.387
269.54274334575564,0.388
269.54274334575564,0.389
269.54274334575564,0.39
272.9047098653921,0.391
272.9047098653921,0.392
272.9047098653921,0.393
272.9047098653921,0.394
272.9047098653921,0.395
272.9047098653921,0.396
275.9746326168279,0.397
275.9746326168279,0.398
275.9746326168279,0.399
275.9746326168279,0.4
275.9746326168279,0.401
275.9746326168279,0.402
279.0033990024183,0.403
279.0033990024183,0.404
279.0033990024183,0.405
279.0033990024183,0.406
279.0033990024183,0.40700000000000003
279.0033990024183,0.40800000000000003
282.37054140556097,0.40900000000000003
282.37054140556097,0.41000000000000003
282.37054140556097,0.41100000000000003
282.37054140556097,0.41200000000000003
282.37054140556097,0.41300000000000003
282.37054140556097,0.41400000000000003
286.0217276054061,0.41500000000000004
286.0217276054061,0.41600000000000004
286.0217276054061,0.41700000000000004
286.0217276054061,0.41800000000000004
286.0217276054061,0.41900000000000004
286.0217276054061,0.42000000000000004
289.46643998099296,0.42100000000000004
289.46643998099296,0.42200000000000004
289.46643998099296,0.42300000000000004
289.46643998099296,0.42400000000000004
289.46643998099296,0.42500000000000004
289.46643998099296,0.42600000000000005
293.1074650811636,0.42700000000000005
293.1074650811636,0.42800000000000005
293.1074650811636,0.42900000000000005
293.1074650811636,0.43000000000000005
293.1074650811636,0.43100000000000005
293.1074650811636,0.43200000000000005
296.8403067747304,0.43300000000000005
296.8403067747304,0.43400000000000005
296.8403067747304,0.43500000000000005
296.8403067747304,0.43600000000000005
296.8403067747304,0.43700000000000006
296.8403067747304,0.438
299.609541567271,0.439
299.609541567271,0.44
299.609541567271,0.441
299.609541567271,0.442
299.609541567271,0.443
299.609541567271,0.444
301.3776328157902,0.445
301.3776328157902,0.446
301.3776328157902,0.447
301.3776328157902,0.448
301.9808702780572,0.449
302.02771631881205,0.45
