"ILW_Line: Temperature (C)","ILW_Line: Position[X] (m)"
254.88123858143615,0.25
254.89050260408987,0.2505
254.8979417770321,0.251
254.92209127320268,0.2515
254.9315259399093,0.252
254.95620863655392,0.2525
254.98186951453488,0.253
255.01161536079496,0.2535
255.0241218669587,0.254
255.05987709342708,0.2545
255.07347699199215,0.255
255.1105096856562,0.2555
255.124333836784,0.256
255.1611347579876,0.2565
255.1747318313254,0.257
255.21019444092417,0.2575
255.22323000644315,0.258
255.25652540609735,0.2585
255.2688248894176,0.259
255.2997810364077,0.2595
255.31133252247116,0.26
255.3401057570669,0.2605
255.35095816926525,0.261
255.37774810147857,0.2615
255.38793730858822,0.262
255.4128621896317,0.2625
255.42237897722532,0.263
255.44541969011004,0.2635
255.454221003135,0.264
255.47531392420228,0.2645
255.4833628540522,0.265
255.50250275237806,0.2655
255.50979338939692,0.266
255.52704590353414,0.2665
255.533603150741,0.267
255.549084377839,0.2675
255.55495274688315,0.268
255.56879486482342,0.2685
255.5740282683148,0.269
255.58637041595227,0.2695
255.59103294431907,0.27
255.6020557594261,0.2705
255.60621670003434,0.271
255.6160886310912,0.2715
255.61981238602505,0.272
255.62868464990368,0.2725
255.6320282317571,0.273
255.64002950114116,0.2735
255.64304192581255,0.274
255.65028129770974,0.2745
255.65300524749,0.275
255.65957994692883,0.2755
255.6620536973519,0.276
255.66805314612634,0.2765
255.67031062134026,0.277
255.67581186722816,0.2775
255.6778812045735,0.278
255.68294303023129,0.27849999999999997
255.68484707900518,0.279
255.68951798829096,0.27949999999999997
255.69127689684763,0.28
255.6956026194199,0.28049999999999997
255.69723569226153,0.281
255.70126202233155,0.2815
255.7027885929075,0.28200000000000003
255.70656276581167,0.2825
255.7080026362787,0.28300000000000003
255.71157379173826,0.2835
255.71294743436874,0.28400000000000003
255.71636664174844,0.2845
255.71769545255347,0.285
255.7210165932122,0.2855
255.7223235054504,0.286
255.7256055431768,0.2865
255.72691569819096,0.287
255.73022427636158,0.2875
255.7315645886107,0.28800000000000003
255.73496633010222,0.2885
255.73636647132935,0.28900000000000003
255.73993987017138,0.2895
255.74143408432394,0.29000000000000004
255.74526892454605,0.2905
255.7468973351988,0.291
255.7511007303258,0.2915
255.75291437400745,0.292
255.7576361580759,0.2925
255.75969733369573,0.293
255.76510481773232,0.2935
255.76748490696207,0.294
255.77377061182756,0.2945
255.77655472952824,0.295
255.783955716351,0.2955
255.78725147162368,0.296
255.79608359287067,0.2965
255.80002557002513,0.297
255.81067502280087,0.2975
255.81542397873443,0.298
255.82834770421084,0.2985
255.8340929992777,0.299
255.84983493762013,0.2995
255.85679361134237,0.3
255.87596421630303,0.3005
255.88437574328066,0.301
255.90764030590822,0.3015
255.91776744412675,0.302
255.94587057979152,0.3025
255.95799378474715,0.303
255.99171078676375,0.3035
256.00610210400794,0.304
256.0461302666564,0.3045
256.0630254720636,0.305
256.1099200899206,0.3055
