"IPT_Line: Temperature (C)","IPT_Line: Position[X] (m)"
255.6005001918537,0.25
255.61492309647497,0.2505
255.63278877500863,0.251
255.66948894415475,0.2515
255.66948894415475,0.252
255.72655496041602,0.2525
255.72655496041602,0.253
255.77775220492072,0.2535
255.77775220492072,0.254
255.81417190622926,0.2545
255.81417190622926,0.255
255.83899642324718,0.2555
255.83899642324718,0.256
255.8562475736834,0.2565
255.8562475736834,0.257
255.8689755613317,0.2575
255.8689755613317,0.258
255.87905651370625,0.2585
255.87905651370625,0.259
255.88746074000767,0.2595
255.88746074000767,0.26
255.89466468250748,0.2605
255.89466468250748,0.261
255.90090688595717,0.2615
255.90090688595717,0.262
255.9063117766043,0.2625
255.9063117766043,0.263
255.91094994426874,0.2635
255.91094994426874,0.264
255.91487003347083,0.2645
255.91487003347083,0.265
255.91811595649108,0.2655
255.91811595649108,0.266
255.92073605036535,0.2665
255.92073605036535,0.267
255.92278732079353,0.2675
255.92278732079353,0.268
255.9243397823327,0.2685
255.9243397823327,0.269
255.92545053472952,0.2695
255.92545053472952,0.27
255.92618407235955,0.2705
255.92618407235955,0.271
255.92660343173145,0.2715
255.92660343173145,0.272
255.9267674797203,0.2725
255.9267674797203,0.273
255.92672931945685,0.2735
255.92672931945685,0.274
255.92653551789624,0.2745
255.92653551789624,0.275
255.9262265300414,0.2755
255.9262265300414,0.276
255.92583656208387,0.2765
255.92583656208387,0.277
255.92538888155184,0.2775
255.92538888155184,0.278
255.9249050145621,0.27849999999999997
255.9249050145621,0.279
255.92440082661494,0.27949999999999997
255.92440082661494,0.28
255.92388740248873,0.28049999999999997
255.92388740248873,0.281
255.92337198471057,0.2815
255.92337198471057,0.28200000000000003
255.92285849586722,0.2825
255.92285849586722,0.28300000000000003
255.92234796357275,0.2835
255.92234796357275,0.28400000000000003
255.92183909019968,0.2845
255.92183909019968,0.285
255.92132870276475,0.2855
255.92132870276475,0.286
255.9208120894931,0.2865
255.9208120894931,0.287
255.92028324144678,0.2875
255.92028324144678,0.28800000000000003
255.9197350796337,0.2885
255.9197350796337,0.28900000000000003
255.9191596384461,0.2895
255.9191596384461,0.29000000000000004
255.91854823682093,0.2905
255.91854823682093,0.291
255.91789165762702,0.2915
255.91789165762702,0.292
255.91718022928524,0.2925
255.91718022928524,0.293
255.91640392358272,0.2935
255.91640392358272,0.294
255.91555245126017,0.2945
255.91555245126017,0.295
255.91461536550878,0.2955
255.91461536550878,0.296
255.91358218074743,0.2965
255.91358218074743,0.297
255.91244252208537,0.2975
255.91244252208537,0.298
255.91118630160804,0.2985
255.91118630160804,0.299
255.9098039430794,0.2995
255.9098039430794,0.3
255.90828666311256,0.3005
255.90828666311256,0.301
255.9066268641027,0.3015
255.9066268641027,0.302
255.90481866757784,0.3025
255.90481866757784,0.303
255.90285866097406,0.3035
255.90285866097406,0.304
255.9007469156295,0.3045
255.9007469156295,0.305
255.89848833857343,0.3055
255.89848833857343,0.306
255.89609437448064,0.3065
255.89609437448064,0.307
255.89358465262,0.3075
255.89358465262,0.308
255.89098720892957,0.3085
255.89098720892957,0.309
255.8882842772888,0.3095
255.8882842772888,0.31
255.88544748869697,0.3105
255.88544748869697,0.311
255.88250930756715,0.3115
255.88250930756715,0.312
255.8795370583855,0.3125
255.8795370583855,0.313
255.8766379190771,0.3135
255.8766379190771,0.314
255.8739718693879,0.3145
255.8739718693879,0.315
255.87177778066177,0.3155
255.87177778066177,0.316
255.8704207876732,0.3165
255.8704207876732,0.317
255.87047107731007,0.3175
255.87047107731007,0.318
255.87294702338397,0.3185
255.87294702338397,0.319
255.8794491887785,0.3195
255.8794491887785,0.32
255.8931750459691,0.3205
255.8931750459691,0.321
255.91954694608478,0.3215
255.91954694608478,0.322
255.96682619368312,0.3225
255.96682619368312,0.323
256.04461444210017,0.3235
256.04461444210017,0.324
256.16107795060464,0.3245
256.16107795060464,0.325
256.31142246509785,0.3255
256.31142246509785,0.326
256.4669717535504,0.3265
256.4669717535504,0.327
256.60160765330386,0.3275
256.60160765330386,0.328
256.70056443691203,0.3285
256.70056443691203,0.329
256.75330992111503,0.3295
256.75330992111503,0.33
256.7429144530387,0.3305
256.7429144530387,0.331
256.6511198927599,0.3315
256.6511198927599,0.332
256.4690689109491,0.3325
256.4690689109491,0.333
256.19641379194934,0.3335
256.19641379194934,0.334
255.85059705555886,0.3345
255.85059705555886,0.335
255.4661912434177,0.3355
255.4661912434177,0.336
255.0909279855921,0.3365
255.0909279855921,0.337
254.7561394742604,0.3375
254.7561394742604,0.338
254.47274632328822,0.3385
254.47274632328822,0.339
254.24005928753127,0.3395
254.24005928753127,0.34
254.05207157596976,0.3405
254.05207157596976,0.341
253.90101378712825,0.3415
253.90101378712825,0.342
253.77961681039153,0.3425
253.77961681039153,0.343
253.68197828048994,0.3435
253.68197828048994,0.344
253.6034910753914,0.34450000000000003
253.6034910753914,0.345
253.54059434639964,0.34550000000000003
253.54059434639964,0.346
253.4905166594216,0.34650000000000003
253.4905166594216,0.347
253.45106761623117,0.34750000000000003
253.45106761623117,0.348
253.42048652913877,0.34850000000000003
253.42048652913877,0.349
253.3973278816311,0.34950000000000003
253.3973278816311,0.35
253.38038226039828,0.3505
253.38038226039828,0.351
253.36862178245292,0.3515
253.36862178245292,0.352
253.3611554662566,0.3525
253.3611554662566,0.353
253.35713957568623,0.3535
253.35713957568623,0.354
253.35599792856988,0.3545
253.35599792856988,0.355
253.35720745565914,0.3555
253.35720745565914,0.356
253.36024952668004,0.3565
253.36024952668004,0.357
253.36468209430734,0.3575
253.36468209430734,0.358
253.370137964749,0.3585
253.370137964749,0.359
253.37629560526386,0.3595
253.37629560526386,0.36
253.3828910746738,0.3605
253.3828910746738,0.361
253.38970434726264,0.3615
253.38970434726264,0.362
253.39655881952535,0.3625
253.39655881952535,0.363
253.40331564350038,0.3635
253.40331564350038,0.364
253.4098684264169,0.3645
253.4098684264169,0.365
253.4161383926869,0.3655
253.4161383926869,0.366
253.42207127623726,0.3665
253.42207127623726,0.367
253.42763378314658,0.3675
253.42763378314658,0.368
253.43281037701706,0.3685
253.43281037701706,0.369
253.4376004472682,0.3695
253.4376004472682,0.37
253.4420158490858,0.3705
253.4420158490858,0.371
253.44607875305326,0.3715
253.44607875305326,0.372
253.44981976461975,0.3725
253.44981976461975,0.373
253.45327626835035,0.3735
253.45327626835035,0.374
253.45649100624132,0.3745
253.45649100624132,0.375
253.45951096327303,0.3755
253.45951096327303,0.376
253.46238571784727,0.3765
253.46238571784727,0.377
253.46516577460864,0.3775
253.46516577460864,0.378
253.46790088171986,0.3785
253.46790088171986,0.379
253.4706380428297,0.3795
253.4706380428297,0.38
253.47342139618706,0.3805
253.47342139618706,0.381
253.4762880382508,0.3815
253.4762880382508,0.382
253.47926540953483,0.3825
253.47926540953483,0.383
253.4823673277299,0.3835
253.4823673277299,0.384
253.4855890133597,0.3845
253.4855890133597,0.385
253.48889819074282,0.3855
253.48889819074282,0.386
253.49221639442192,0.3865
253.49221639442192,0.387
253.49541065196445,0.3875
253.49541065196445,0.388
253.49826484012658,0.3885
253.49826484012658,0.389
253.50047344405687,0.3895
253.50047344405687,0.39
253.5016063190966,0.3905
253.5016063190966,0.391
253.5010013078247,0.3915
253.5010013078247,0.392
253.49779311444604,0.3925
253.49779311444604,0.393
253.490845282662,0.3935
253.490845282662,0.394
253.4787218922105,0.3945
253.4787218922105,0.395
253.45976921954446,0.3955
253.45976921954446,0.396
253.43225004305816,0.3965
253.43225004305816,0.397
253.39402196658352,0.3975
253.39402196658352,0.398
253.34340546089436,0.3985
253.34340546089436,0.399
253.27936886635837,0.3995
253.27936886635837,0.4
253.20176794234987,0.40049999999999997
253.20176794234987,0.401
253.11146975964243,0.40149999999999997
253.11146975964243,0.402
253.0103402382697,0.40249999999999997
253.0103402382697,0.403
252.90123712714376,0.40349999999999997
252.90123712714376,0.404
252.78840026124647,0.40449999999999997
252.78840026124647,0.405
252.67860316808026,0.40549999999999997
252.67860316808026,0.406
252.58249535305367,0.4065
252.58249535305367,0.40700000000000003
252.51703336023036,0.4075
252.51703336023036,0.40800000000000003
252.50012059627454,0.4085
252.50012059627454,0.40900000000000003
