"ILW_Line: Temperature (C)","ILW_Line: Position[X] (m)"
282.2976509660393,0.404
283.05727440566693,0.405
283.8186225189112,0.406
284.5809660563822,0.40700000000000003
285.34357730564545,0.40800000000000003
286.1057466267099,0.40900000000000003
286.8667849431881,0.41000000000000003
287.62602498591514,0.41100000000000003
288.38282642551417,0.41200000000000003
289.1365521980034,0.41300000000000003
289.8865797529496,0.41400000000000003
290.63229285616137,0.41500000000000004
291.37306753519204,0.41600000000000004
292.10826062468163,0.41700000000000004
292.83721911255316,0.41800000000000004
293.55927114190183,0.41900000000000004
294.2737198699041,0.42000000000000004
294.9798481324025,0.42100000000000004
295.67698988548216,0.42200000000000004
296.36446849446156,0.42300000000000004
297.04158542155824,0.42400000000000004
297.7076469624824,0.42500000000000004
298.36203029789135,0.42600000000000005
299.00420822395915,0.42700000000000005
299.63366289425653,0.42800000000000005
300.2499958455984,0.42900000000000005
300.8529650183233,0.43000000000000005
301.44249664150675,0.43100000000000005
302.0187102210185,0.43200000000000005
302.5819576963554,0.43300000000000005
303.1328768249929,0.43400000000000005
303.67246317428396,0.43500000000000005
304.2021401584866,0.43600000000000005
304.7238464831752,0.43700000000000006
305.2402412056108,0.438
305.75488160208704,0.439
306.27229798250437,0.44
306.79782741427493,0.441
307.3369944608654,0.442
307.8930293999417,0.443
308.46299664108426,0.444
309.034758929929,0.445
309.5849872579829,0.446
310.087262706875,0.447
310.5119172349757,0.448
310.8997365371714,0.449
310.95516362386866,0.45
239.58002519155025,0.33
240.2556193696671,0.331
240.96793648308653,0.332
241.70870903091452,0.333
242.46647308699016,0.334
243.22765913170974,0.335
243.97838775063815,0.336
244.70753456667103,0.337
245.40794188589632,0.338
246.07613519298457,0.339
246.7120879221818,0.34
247.31821326473323,0.341
247.89741308667737,0.342
248.45288327473088,0.343
248.98776753132154,0.344
249.5049734130772,0.345
250.00706658069282,0.346
250.4962260280189,0.347
250.97442047643517,0.348
251.44334658512196,0.349
251.9044777131062,0.35
252.35910444936644,0.351
252.80836855791642,0.352
253.25329135211837,0.353
253.69479692218192,0.354
254.13372934104098,0.355
254.57087815952002,0.356
255.0069987942478,0.357
255.44278674468353,0.358
255.87891080321276,0.359
256.3160155247301,0.36
256.75472334943447,0.361
257.195633221451,0.362
257.63931685607486,0.363
258.0863237534537,0.364
258.53717443903236,0.365
258.99238640270767,0.366
259.45245057654245,0.367
259.9178483344226,0.368
260.38903955215073,0.369
260.86648919537515,0.37
261.3506625572247,0.371
261.84197647440544,0.372
262.34080418340875,0.373
262.84748522787663,0.374
263.36233799114973,0.375
263.88567435235757,0.376
264.4177776889901,0.377
264.9588392106558,0.378
265.50905839717825,0.379
266.068652796013,0.38
266.63784235694936,0.381
267.21683524000036,0.382
267.8057940072364,0.383
268.40481329227407,0.384
269.01397173773034,0.385
269.6333091520022,0.386
270.262833072377,0.387
270.9025118698904,0.388
271.5522706512437,0.389
272.21197761084215,0.39
272.8814287465267,0.391
273.5603887542152,0.392
274.2485817775622,0.393
274.9456796886311,0.394
275.65130018833463,0.395
276.36500730347893,0.396
277.0863130029743,0.397
277.8146796720956,0.398
278.54952216743925,0.399
279.2902077372818,0.4
280.03604995823935,0.401
280.78637217240566,0.402
281.54045793532134,0.403
227.09690571903423,0.25
227.0983371738967,0.251
227.15238786913295,0.252
227.20590575545958,0.253
227.24895925087014,0.254
227.29553708684358,0.255
227.3452824067558,0.256
227.3980426512909,0.257
227.45368988347917,0.258
227.45368988347917,0.259
227.51210123342804,0.26
227.573083518889,0.261
227.63631037011788,0.262
227.70129298981414,0.263
227.76742326180914,0.264
227.834077186996,0.265
227.90072269806137,0.266
227.9669852514774,0.267
228.0326595913399,0.268
228.09768728456027,0.269
228.16212211664833,0.27
228.2260967458041,0.271
228.2897955940353,0.272
228.3534344551797,0.273
228.41724608391877,0.274
228.48147022946603,0.275
228.54634698356045,0.276
228.61211311338184,0.277
228.67899989121747,0.278
228.74723204659142,0.279
228.81702763212098,0.28
228.88859778933852,0.281
228.96214657448604,0.28200000000000003
229.03787089025082,0.28300000000000003
229.11596045074918,0.28400000000000003
229.19659773452184,0.285
229.27995774766703,0.286
229.3662079631889,0.287
229.45550836348986,0.28800000000000003
229.54801130461772,0.28900000000000003
229.6438613399447,0.29000000000000004
229.74319513719485,0.291
229.8461415118191,0.292
229.95282163008022,0.293
230.0633495090416,0.294
230.17783287180168,0.295
230.29637435713153,0.296
230.41907305493316,0.297
230.54602661800357,0.298
230.67733393664622,0.299
230.81309838157335,0.3
230.95343170240199,0.301
231.09845849057803,0.302
231.24832138668836,0.303
231.40318696162416,0.304
231.56325208888273,0.305
231.72875081875907,0.306
231.8999616784455,0.307
232.0772151847974,0.308
232.26090203204757,0.309
232.45148261249562,0.31
232.64949744537262,0.311
232.8555820169408,0.312
233.07048483030354,0.313
233.29508702638532,0.314
233.5304208326993,0.315
233.7776792263154,0.316
234.03821453415645,0.317
234.31353947669936,0.318
234.6053378706099,0.319
234.9154845158704,0.32
235.24607719428252,0.321
235.59945987969468,0.322
235.97821300238604,0.323
236.38512971956874,0.324
236.8231582558907,0.325
237.29534704723454,0.326
237.80474014787518,0.327
238.35421215671875,0.328
238.94575616567363,0.329
