"OLW_Line: Temperature (C)","OLW_Line: Position[X] (m)"
229.70047661217598,0.29000000000000004
229.75138701170715,0.2905
229.80321284909712,0.291
229.85603163414356,0.2915
229.90969985112451,0.292
229.96429783213176,0.2925
230.01989449456846,0.293
230.07657722991456,0.2935
230.13417470975554,0.294
230.19277858437255,0.2945
230.25246712680678,0.295
230.31334019099137,0.2955
230.37519732910044,0.296
230.4381433023658,0.2965
230.50226746725184,0.297
230.56768399529528,0.2975
230.63416459100398,0.298
230.7018292144864,0.2985
230.77078056616529,0.299
230.84114977675716,0.2995
230.91267999385093,0.3
230.9855104933515,0.3005
231.05976135578754,0.301
231.13558543104386,0.3015
231.21269597365773,0.302
231.29125563248454,0.3025
231.37140581178437,0.303
231.45332527433055,0.3035
231.53670101369704,0.304
231.62172310619138,0.3045
231.70855877232964,0.305
231.7974178271059,0.3055
231.88796095758943,0.306
231.98041387022857,0.3065
232.07497775145845,0.307
232.17190309693507,0.3075
232.2708206292893,0.308
232.3720014156994,0.3085
232.4756901045206,0.309
232.58218867390895,0.3095
232.69109805591023,0.31
232.8027456040582,0.3105
232.91743056326862,0.311
233.0355191706958,0.3115
233.15658181468393,0.312
233.28101777453531,0.3125
233.4091965769997,0.313
233.54156691334475,0.3135
233.6776670586229,0.314
233.81798760966348,0.3145
233.96298811413538,0.315
234.11322271200083,0.3155
234.2681951424138,0.316
234.4285148825693,0.3165
234.5947596215811,0.317
234.76762220749214,0.3175
234.94656578032283,0.318
235.1323588071101,0.3185
235.3257385165187,0.319
235.52758660640518,0.3195
235.73730650042438,0.32
235.95588900935314,0.3205
236.18429538705567,0.321
236.4236739853397,0.3215
236.67335389059934,0.322
236.93463966801437,0.3225
237.20881328127928,0.323
237.49740734439092,0.3235
237.79969160378124,0.324
238.11742671612768,0.3245
238.4523750297675,0.325
238.80665231507913,0.3255
239.17952982800307,0.326
239.57351386025323,0.3265
239.99118732415116,0.327
240.4356925124581,0.3275
240.90647215771912,0.328
241.40747343088947,0.3285
241.94297257279345,0.329
242.5183436849028,0.3295
243.1339579238878,0.33
243.7974016982663,0.3305
244.51775356265637,0.331
245.30745414325452,0.3315
246.17116589590023,0.332
247.13173590591123,0.3325
248.2229734098205,0.333
249.50318706761448,0.3335
251.08887247915675,0.334
253.25356143938632,0.3345
254.23379938639914,0.335
255.09034603924067,0.3355
255.6136596064556,0.336
256.2526411608594,0.3365
256.66143533592765,0.337
257.19373725096716,0.3375
257.5429834321842,0.338
258.01602217533025,0.3385
258.3299879630257,0.339
258.7652417503639,0.3395
259.0557192722905,0.34
259.46413474495444,0.3405
259.7375149800903,0.341
260.1254052109274,0.3415
260.3855439437027,0.342
260.75695741908373,0.3425
261.0063950735025,0.343
261.364138114998,0.3435
261.604667332687,0.344
261.9508016962325,0.34450000000000003
262.18375864275663,0.345
262.51987494168145,0.34550000000000003
262.74629962538665,0.346
263.07367886701456,0.34650000000000003
263.294417627964,0.347
263.61412969073547,0.34750000000000003
263.82989360683723,0.348
264.14286076769054,0.34850000000000003
264.3542629601699,0.349
264.6613003513097,0.34950000000000003
264.8688842526997,0.35
265.1707264424547,0.3505
265.37498149615783,0.351
