"Points:0","Points:1","Points:2","T_solid"
0,-1.0055,0,665.12
0,-1.005,0,643.78
2.4493e-18,-1.0055,0.04,674.73
2.4493e-18,-1.005,0.04,651.74
4.8986e-18,-1.0055,0.08,685.12
4.8986e-18,-1.005,0.08,660.34
7.3479e-18,-1.0055,0.12,696.31
7.3479e-18,-1.005,0.12,669.64
9.7972e-18,-1.0055,0.16,707.44
9.7972e-18,-1.005,0.16,679.35
1.2246e-17,-1.0055,0.2,718.67
1.2246e-17,-1.005,0.2,689.4
1.4696e-17,-1.0055,0.24,730.42
1.4696e-17,-1.005,0.24,699.91
1.7145e-17,-1.0055,0.28,742.17
1.7145e-17,-1.005,0.28,710.71
1.9594e-17,-1.0055,0.32,753.59
1.9594e-17,-1.005,0.32,721.63
2.2044e-17,-1.0055,0.36,764.7
2.2044e-17,-1.005,0.36,732.54
2.4493e-17,-1.0055,0.4,775.54
2.4493e-17,-1.005,0.4,743.43
2.6942e-17,-1.0055,0.44,785.85
2.6942e-17,-1.005,0.44,754.12
2.9392e-17,-1.0055,0.48,795.81
2.9392e-17,-1.005,0.48,764.62
3.1841e-17,-1.0055,0.52,805.09
3.1841e-17,-1.005,0.52,774.78
3.429e-17,-1.0055,0.56,813.29
3.429e-17,-1.005,0.56,784.36
3.6739e-17,-1.0055,0.6,820.49
3.6739e-17,-1.005,0.6,793.28
3.9189e-17,-1.0055,0.64,827.2
3.9189e-17,-1.005,0.64,801.67
4.1638e-17,-1.0055,0.68,832.78
4.1638e-17,-1.005,0.68,809.31
4.4087e-17,-1.0055,0.72,836.51
4.4087e-17,-1.005,0.72,815.83
4.6537e-17,-1.0055,0.76,838.94
4.6537e-17,-1.005,0.76,821.27
4.8986e-17,-1.0055,0.8,839.96
4.8986e-17,-1.005,0.8,825.37
