"temperature","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
636.88,1,0,0,1,0
637.02,1,0.0008,4.8986e-20,1,0.0008
637.15,1,0.0016,9.7972e-20,1,0.0016
637.29,1,0.0024,1.4696e-19,1,0.0024
637.43,1,0.0032,1.9594e-19,1,0.0032
637.56,1,0.004,2.4493e-19,1,0.004
637.7,1,0.0048,2.9392e-19,1,0.0048
637.84,1,0.0056,3.429e-19,1,0.0056
637.97,1,0.0064,3.9189e-19,1,0.0064
638.11,1,0.0072,4.4087e-19,1,0.0072
638.25,1,0.008,4.8986e-19,1,0.008
638.38,1,0.0088,5.3884e-19,1,0.0088
638.52,1,0.0096,5.8783e-19,1,0.0096
638.66,1,0.0104,6.3682e-19,1,0.0104
638.79,1,0.0112,6.858e-19,1,0.0112
638.93,1,0.012,7.3479e-19,1,0.012
639.07,1,0.0128,7.8377e-19,1,0.0128
639.21,1,0.0136,8.3276e-19,1,0.0136
639.34,1,0.0144,8.8175e-19,1,0.0144
639.48,1,0.0152,9.3073e-19,1,0.0152
639.62,1,0.016,9.7972e-19,1,0.016
639.75,1,0.0168,1.0287e-18,1,0.0168
639.89,1,0.0176,1.0777e-18,1,0.0176
640.03,1,0.0184,1.1267e-18,1,0.0184
640.16,1,0.0192,1.1757e-18,1,0.0192
640.3,1,0.02,1.2246e-18,1,0.02
640.44,1,0.0208,1.2736e-18,1,0.0208
640.57,1,0.0216,1.3226e-18,1,0.0216
640.71,1,0.0224,1.3716e-18,1,0.0224
640.85,1,0.0232,1.4206e-18,1,0.0232
640.98,1,0.024,1.4696e-18,1,0.024
641.12,1,0.0248,1.5186e-18,1,0.0248
641.26,1,0.0256,1.5675e-18,1,0.0256
641.39,1,0.0264,1.6165e-18,1,0.0264
641.53,1,0.0272,1.6655e-18,1,0.0272
641.67,1,0.028,1.7145e-18,1,0.028
641.8,1,0.0288,1.7635e-18,1,0.0288
641.94,1,0.0296,1.8125e-18,1,0.0296
