"Points:0","Points:1","Points:2","T_solid"
0,-1.009,0,741.56
0,-1.0087,0,741.56
0,-1.0084,0,739.72
0,-1.0081,0,736.42
0,-1.0078,0,731.69
0,-1.0075,0,725.57
0,-1.0072,0,718.06
0,-1.0069,0,709.16
0,-1.0066,0,698.87
0,-1.0063,0,687.2
0,-1.006,0,674.15
2.4493e-18,-1.009,0.04,757.08
2.4493e-18,-1.0087,0.04,757.08
2.4493e-18,-1.0084,0.04,755.11
2.4493e-18,-1.0081,0.04,751.54
2.4493e-18,-1.0078,0.04,746.46
2.4493e-18,-1.0075,0.04,739.86
2.4493e-18,-1.0072,0.04,731.76
2.4493e-18,-1.0069,0.04,722.17
2.4493e-18,-1.0066,0.04,711.09
2.4493e-18,-1.0063,0.04,698.52
2.4493e-18,-1.006,0.04,684.46
4.8986e-18,-1.009,0.08,773.87
4.8986e-18,-1.0087,0.08,773.87
4.8986e-18,-1.0084,0.08,771.74
4.8986e-18,-1.0081,0.08,767.9
4.8986e-18,-1.0078,0.08,762.42
4.8986e-18,-1.0075,0.08,755.31
4.8986e-18,-1.0072,0.08,746.58
4.8986e-18,-1.0069,0.08,736.25
4.8986e-18,-1.0066,0.08,724.3
4.8986e-18,-1.0063,0.08,710.75
4.8986e-18,-1.006,0.08,695.6
7.3479e-18,-1.009,0.12,791.85
7.3479e-18,-1.0087,0.12,791.85
7.3479e-18,-1.0084,0.12,789.55
7.3479e-18,-1.0081,0.12,785.42
7.3479e-18,-1.0078,0.12,779.52
7.3479e-18,-1.0075,0.12,771.86
7.3479e-18,-1.0072,0.12,762.47
7.3479e-18,-1.0069,0.12,751.35
7.3479e-18,-1.0066,0.12,738.49
7.3479e-18,-1.0063,0.12,723.91
7.3479e-18,-1.006,0.12,707.6
9.7972e-18,-1.009,0.16,808.07
9.7972e-18,-1.0087,0.16,808.07
9.7972e-18,-1.0084,0.16,805.66
9.7972e-18,-1.0081,0.16,801.3
9.7972e-18,-1.0078,0.16,795.08
9.7972e-18,-1.0075,0.16,787.02
9.7972e-18,-1.0072,0.16,777.13
9.7972e-18,-1.0069,0.16,765.41
9.7972e-18,-1.0066,0.16,751.87
9.7972e-18,-1.0063,0.16,736.51
9.7972e-18,-1.006,0.16,719.33
1.2246e-17,-1.009,0.2,823.55
1.2246e-17,-1.0087,0.2,823.55
1.2246e-17,-1.0084,0.2,821.03
1.2246e-17,-1.0081,0.2,816.49
1.2246e-17,-1.0078,0.2,810.01
1.2246e-17,-1.0075,0.2,801.61
1.2246e-17,-1.0072,0.2,791.3
1.2246e-17,-1.0069,0.2,779.09
1.2246e-17,-1.0066,0.2,764.98
1.2246e-17,-1.0063,0.2,748.97
1.2246e-17,-1.006,0.2,731.06
1.4696e-17,-1.009,0.24,839.72
1.4696e-17,-1.0087,0.24,839.72
1.4696e-17,-1.0084,0.24,837.09
1.4696e-17,-1.0081,0.24,832.37
1.4696e-17,-1.0078,0.24,825.61
1.4696e-17,-1.0075,0.24,816.86
1.4696e-17,-1.0072,0.24,806.11
1.4696e-17,-1.0069,0.24,793.39
1.4696e-17,-1.0066,0.24,778.68
1.4696e-17,-1.0063,0.24,761.99
1.4696e-17,-1.006,0.24,743.33
1.7145e-17,-1.009,0.28,854.83
1.7145e-17,-1.0087,0.28,854.83
1.7145e-17,-1.0084,0.28,852.12
1.7145e-17,-1.0081,0.28,847.25
1.7145e-17,-1.0078,0.28,840.29
1.7145e-17,-1.0075,0.28,831.26
1.7145e-17,-1.0072,0.28,820.19
1.7145e-17,-1.0069,0.28,807.07
1.7145e-17,-1.0066,0.28,791.91
1.7145e-17,-1.0063,0.28,774.71
1.7145e-17,-1.006,0.28,755.47
1.9594e-17,-1.009,0.32,868.1
1.9594e-17,-1.0087,0.32,868.1
1.9594e-17,-1.0084,0.32,865.35
